Quantity,Sales,Customer Name,Month-Year,Month,Year,Order ID,Product Category,Order_ID,Customer_ID
0,0,Amber Richards,01-12-2016,12,01-01-2016,714997-12-2016,Apparel,714997-12-2016,1738
0,0,Tess Campbell,01-07-2016,7,01-01-2016,726827-7-2016,Accessories,726827-7-2016,2075
0,0,Isabella Martin,01-11-2019,11,01-01-2019,653442-11-2019,Departmental,653442-11-2019,2122
61,395,Ashton Brown,01-06-2015,6,01-01-2015,971353-6-2015,Apparel,971353-6-2015,2125
0,0,Dominik Allen,01-01-2017,1,01-01-2017,510196-1-2017,Apparel,510196-1-2017,1772
0,0,Cherry Riley,01-05-2016,5,01-01-2016,703859-5-2016,Travel,703859-5-2016,2004
77,342,Amelia Ellis,01-10-2015,10,01-01-2015,142007-10-2015,Travel,142007-10-2015,1793
0,0,Arnold Montgomery,01-05-2019,5,01-01-2019,167157-5-2019,Travel,167157-5-2019,2023
0,0,Oliver Barrett,01-09-2017,9,01-01-2017,823162-9-2017,Travel,823162-9-2017,2139
0,0,Frederick Myers,01-10-2019,10,01-01-2019,786924-10-2019,Apparel,786924-10-2019,1668
0,0,Lana Johnston,01-03-2018,3,01-01-2018,828138-3-2018,Departmental,828138-3-2018,1836
0,0,Dominik Harris,01-01-2017,1,01-01-2017,145954-1-2017,Dining,145954-1-2017,1974
0,0,Jordan Wilson,01-10-2017,10,01-01-2017,426894-10-2017,Apparel,426894-10-2017,2009
0,0,Maria Wells,01-12-2016,12,01-01-2016,172293-12-2016,Books,172293-12-2016,1905
28,874,Maria Wells,01-01-2015,1,01-01-2015,884933-1-2015,Accessories,884933-1-2015,1905
0,0,Arnold Fowler,01-09-2019,9,01-01-2019,492691-9-2019,Dining,492691-9-2019,1760
0,0,Edgar Thomas,01-12-2018,12,01-01-2018,685568-12-2018,Departmental,685568-12-2018,2165
13,172,Sam Hall,01-01-2015,1,01-01-2015,366616-1-2015,Dining,366616-1-2015,1756
0,0,Vanessa Morrison,01-05-2018,5,01-01-2018,773281-5-2018,Dining,773281-5-2018,2080
0,0,Adison Douglas,01-12-2019,12,01-01-2019,928659-12-2019,Books,928659-12-2019,1848
0,0,Jasmine Jones,01-04-2018,4,01-01-2018,925748-4-2018,Apparel,925748-4-2018,1720
32,308,Heather Tucker,01-12-2015,12,01-01-2015,166608-12-2015,Accessories,166608-12-2015,2174
0,0,Albert Fowler,01-08-2017,8,01-01-2017,345754-8-2017,Dining,345754-8-2017,1941
0,0,Elise Campbell,01-03-2017,3,01-01-2017,292018-3-2017,Departmental,292018-3-2017,1907
0,0,Kelvin Wells,01-08-2016,8,01-01-2016,168595-8-2016,Apparel,168595-8-2016,2126
0,0,Robert Stevens,01-03-2016,3,01-01-2016,460630-3-2016,Health,460630-3-2016,1841
0,0,James Stevens,01-04-2016,4,01-01-2016,171375-4-2016,Departmental,171375-4-2016,1705
0,0,Alexander Thomas,01-05-2016,5,01-01-2016,782352-5-2016,Departmental,782352-5-2016,1529
0,0,David Montgomery,01-03-2018,3,01-01-2018,529131-3-2018,Health,529131-3-2018,1737
92,114,Derek Elliott,01-05-2015,5,01-01-2015,979376-5-2015,Books,979376-5-2015,1537
0,0,Sabrina Phillips,01-10-2016,10,01-01-2016,925854-10-2016,Books,925854-10-2016,1543
80,659,Kimberly Owens,01-12-2015,12,01-01-2015,725905-12-2015,Health,725905-12-2015,1524
0,0,Kate Stewart,01-09-2018,9,01-01-2018,829130-9-2018,Departmental,829130-9-2018,1881
92,903,Adison Miller,01-05-2015,5,01-01-2015,931291-5-2015,Books,931291-5-2015,1739
0,0,Madaline Smith,01-12-2017,12,01-01-2017,566762-12-2017,Departmental,566762-12-2017,1901
0,0,Oliver Morris,01-01-2017,1,01-01-2017,634631-1-2017,Dining,634631-1-2017,1802
0,0,Sarah Ferguson,01-06-2017,6,01-01-2017,312403-6-2017,Apparel,312403-6-2017,1508
0,0,Preston Riley,01-01-2016,1,01-01-2016,699786-1-2016,Travel,699786-1-2016,1811
0,0,Jack Cole,01-05-2019,5,01-01-2019,112780-5-2019,Books,112780-5-2019,2063
0,0,Max Barnes,01-02-2018,2,01-01-2018,639805-2-2018,Apparel,639805-2-2018,1641
0,0,Lily Allen,01-07-2018,7,01-01-2018,460385-7-2018,Apparel,460385-7-2018,1964
12,725,Amelia Riley,01-11-2015,11,01-01-2015,941285-11-2015,Dining,941285-11-2015,1849
0,0,Kirsten Douglas,01-12-2017,12,01-01-2017,774588-12-2017,Departmental,774588-12-2017,1809
0,0,Chelsea Wright,01-02-2017,2,01-01-2017,631294-2-2017,Books,631294-2-2017,1995
94,480,Eleanor Harrison,01-12-2015,12,01-01-2015,531099-12-2015,Books,531099-12-2015,1654
0,0,Jordan Hall,01-04-2019,4,01-01-2019,676562-4-2019,Accessories,676562-4-2019,1545
59,398,Walter Turner,01-05-2015,5,01-01-2015,947965-5-2015,Dining,947965-5-2015,2105
0,0,Leonardo Richardson,01-06-2019,6,01-01-2019,210813-6-2019,Departmental,210813-6-2019,1664
0,0,Cadie Edwards,01-06-2018,6,01-01-2018,719454-6-2018,Departmental,719454-6-2018,1522
49,976,Nicholas Watson,01-12-2015,12,01-01-2015,739137-12-2015,Dining,739137-12-2015,2169
0,0,Emma Davis,01-10-2017,10,01-01-2017,572698-10-2017,Apparel,572698-10-2017,1628
78,740,Justin Ryan,01-06-2015,6,01-01-2015,864588-6-2015,Dining,864588-6-2015,1801
0,0,Lily Allen,01-03-2018,3,01-01-2018,892380-3-2018,Dining,892380-3-2018,1964
0,0,Jordan Richardson,01-04-2019,4,01-01-2019,162267-4-2019,Travel,162267-4-2019,2200
0,0,Tyler Turner,01-08-2017,8,01-01-2017,440114-8-2017,Health,440114-8-2017,1557
0,0,Kellan Owens,01-12-2017,12,01-01-2017,855306-12-2017,Books,855306-12-2017,1899
0,0,Brad Johnson,01-11-2016,11,01-01-2016,931968-11-2016,Books,931968-11-2016,1968
0,0,Evelyn Crawford,01-04-2017,4,01-01-2017,677687-4-2017,Health,677687-4-2017,1619
0,0,Tony Harper,01-01-2016,1,01-01-2016,821321-1-2016,Health,821321-1-2016,1885
0,0,Lucia Kelley,01-04-2016,4,01-01-2016,281351-4-2016,Health,281351-4-2016,1653
0,0,Aida Murphy,01-02-2016,2,01-01-2016,933767-2-2016,Health,933767-2-2016,1630
65,963,Alissa Myers,01-04-2015,4,01-01-2015,259262-4-2015,Departmental,259262-4-2015,1645
0,0,Richard Bailey,01-07-2019,7,01-01-2019,742897-7-2019,Dining,742897-7-2019,1618
70,825,Valeria Foster,01-10-2015,10,01-01-2015,899977-10-2015,Dining,899977-10-2015,2015
0,0,Paul Ryan,01-11-2017,11,01-01-2017,752229-11-2017,Apparel,752229-11-2017,2133
0,0,Abraham Fowler,01-07-2016,7,01-01-2016,798118-7-2016,Travel,798118-7-2016,1820
